"id","query_text","qep","actual_rows","estimated_rows","q_error","timestamp","table_set","table_alias_set","join_set","predicate_set"
365,SELECT * FROM cast_info ci WHERE ci.role_id<8,"  - query: |-
      SELECT * FROM cast_info ci WHERE ci.role_id<8
    qep:
      - node: Seq Scan
        actual_rows: 28808107
        estimated_rows: 28794029
        q_error: 1.0004889208106305
",28808107,28794029,1.0004889208106304554490861846716143190860748291015625,2024-08-17 08:51:54.227,{cast_info},{ci},{},{ci.role_id<8}
324,"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id>1 AND t.production_year<2007","  - query: |-
      SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id>1 AND t.production_year<2007
    qep:
      - node: Hash Join/Seq Scan
        actual_rows: 4523930
        estimated_rows: 4519680
        q_error: 1.0009403320589068
      - node: Hash Join/Hash/Seq Scan
        actual_rows: 1095581
        estimated_rows: 1149553
        q_error: 1.0492633588935916
      - node: Hash Join/Hash
        actual_rows: 1095581
        estimated_rows: 1149553
        q_error: 1.0492633588935916
      - node: Hash Join
        actual_rows: 1143082
        estimated_rows: 2054816
        q_error: 1.7976103201695066
",1143082,2054816,1.79761032016950661471810235525481402873992919921875,2024-08-16 17:36:58.753,"{title,movie_keyword}","{t,mk}",{t.id=mk.movie_id},"{t.kind_id>1,t.production_year<2007}"
287,"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.production_year=2011","  - query: |-
      SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.production_year=2011
    qep:
      - node: Hash Join/Seq Scan
        actual_rows: 36244344
        estimated_rows: 36179463
        q_error: 1.0017933101992145
      - node: Hash Join/Hash/Seq Scan
        actual_rows: 160017
        estimated_rows: 158537
        q_error: 1.0093353601998272
      - node: Hash Join/Hash
        actual_rows: 160017
        estimated_rows: 158537
        q_error: 1.0093353601998272
      - node: Hash Join
        actual_rows: 2478571
        estimated_rows: 2268449
        q_error: 1.0926280467403058
",2478571,2268449,1.092628046740305780559765480575151741504669189453125,2024-08-15 14:56:11.063,"{title,cast_info}","{t,ci}",{t.id=ci.movie_id},{t.production_year=2011}
211,"SELECT * FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id","  - query: |-
      SELECT * FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id
    qep:
      - node: Hash Join/Seq Scan
        actual_rows: 1380035
        estimated_rows: 1380035
        q_error: 1.0
      - node: Hash Join/Hash/Seq Scan
        actual_rows: 2528313
        estimated_rows: 2528504
        q_error: 1.000075544444062
      - node: Hash Join/Hash
        actual_rows: 2528313
        estimated_rows: 2528504
        q_error: 1.000075544444062
      - node: Hash Join
        actual_rows: 1380035
        estimated_rows: 1380035
        q_error: 1.0
",1380035,1380035,1,2024-08-15 13:43:56.317,"{title,movie_info_idx}","{t,mi_idx}",{t.id=mi_idx.movie_id},{}
309,"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year=1998","  - query: |-
      SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year=1998
    qep:
      - node: Hash Join/Seq Scan
        actual_rows: 4523930
        estimated_rows: 4519680
        q_error: 1.0009403320589068
      - node: Hash Join/Hash/Seq Scan
        actual_rows: 46583
        estimated_rows: 49390
        q_error: 1.0602580340467553
      - node: Hash Join/Hash
        actual_rows: 46583
        estimated_rows: 49390
        q_error: 1.0602580340467553
      - node: Hash Join
        actual_rows: 89863
        estimated_rows: 88284
        q_error: 1.0178854605591048
",89863,88284,1.017885460559104782163331037736497819423675537109375,2024-08-15 15:36:14.502,"{title,movie_keyword}","{t,mk}",{t.id=mk.movie_id},{t.production_year=1998}
310,SELECT * FROM cast_info ci WHERE ci.role_id<2,"  - query: |-
      SELECT * FROM cast_info ci WHERE ci.role_id<2
    qep:
      - node: Index Scan
        actual_rows: 12670688
        estimated_rows: 12633869
        q_error: 1.0029143091478945
",12670688,12633869,1.00291430914789447825796742108650505542755126953125,2024-08-15 15:36:20.173,{cast_info},{ci},{},{ci.role_id<2}
316,SELECT * FROM movie_keyword mk WHERE mk.keyword_id>1828,"  - query: |-
      SELECT * FROM movie_keyword mk WHERE mk.keyword_id>1828
    qep:
      - node: Seq Scan
        actual_rows: 3143191
        estimated_rows: 3139253
        q_error: 1.0012544385559239
",3143191,3139253,1.001254438555923886866594330058433115482330322265625,2024-08-15 15:37:27.648,{movie_keyword},{mk},{},{mk.keyword_id>1828}
237,SELECT * FROM movie_keyword mk WHERE mk.keyword_id<1759,"  - query: |-
      SELECT * FROM movie_keyword mk WHERE mk.keyword_id<1759
    qep:
      - node: Bitmap Heap Scan/Bitmap Index Scan
        actual_rows: 1351608
        estimated_rows: 1347890
        q_error: 1.0027583853281796
      - node: Bitmap Heap Scan
        actual_rows: 1351608
        estimated_rows: 1347890
        q_error: 1.0027583853281796
",1351608,1347890,1.002758385328179624451649942784570157527923583984375,2024-08-15 14:18:51.197,{movie_keyword},{mk},{},{mk.keyword_id<1759}
384,SELECT * FROM movie_companies mc WHERE mc.company_id<18965,"  - query: |-
      SELECT * FROM movie_companies mc WHERE mc.company_id<18965
    qep:
      - node: Seq Scan
        actual_rows: 1667568
        estimated_rows: 1675494
        q_error: 1.0047530295616132
",1667568,1675494,1.004753029561613164588607105542905628681182861328125,2024-08-17 09:21:30.980,{movie_companies},{mc},{},{mc.company_id<18965}
431,"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<7 AND t.production_year>2012 AND ci.person_id<441861","  - query: |-
      SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<7 AND t.production_year>2012 AND ci.person_id<441861
    qep:
      - node: Nested Loop/Hash Join/Seq Scan
        actual_rows: 1380035
        estimated_rows: 1380035
        q_error: 1.0
      - node: Nested Loop/Hash Join/Hash/Bitmap Heap Scan/Bitmap Index Scan
        actual_rows: 985048
        estimated_rows: 980722
        q_error: 1.0044110359510647
      - node: Nested Loop/Hash Join/Hash/Bitmap Heap Scan
        actual_rows: 27085
        estimated_rows: 25548
        q_error: 1.0601612650696728
      - node: Nested Loop/Hash Join/Hash
        actual_rows: 27085
        estimated_rows: 25548
        q_error: 1.0601612650696728
      - node: Nested Loop/Hash Join
        actual_rows: 6543
        estimated_rows: 13944
        q_error: 2.131132508023842
      - node: Nested Loop/Index Scan
        actual_rows: 4
        estimated_rows: 5
        q_error: 1.25
      - node: Nested Loop
        actual_rows: 25626
        estimated_rows: 25709
        q_error: 1.0032388979942246
",25626,25709,1.0032388979942246098886471372679807245731353759765625,2024-08-17 10:00:42.867,"{title,cast_info,movie_info_idx}","{t,ci,mi_idx}","{t.id=ci.movie_id,t.id=mi_idx.movie_id}","{t.kind_id<7,t.production_year>2012,ci.person_id<441861}"
435,"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year<1984 AND mc.company_id=1129","  - query: |-
      SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year<1984 AND mc.company_id=1129
    qep:
      - node: Nested Loop/Index Scan
        actual_rows: 788
        estimated_rows: 102
        q_error: 7.7254901960784315
      - node: Nested Loop/Index Scan
        actual_rows: 1
        estimated_rows: 1
        q_error: 1.0
      - node: Nested Loop
        actual_rows: 735
        estimated_rows: 23
        q_error: 31.956521739130434
",735,23,31.956521739130433701348010799847543239593505859375,2024-08-17 10:01:18.962,"{title,movie_companies}","{t,mc}",{t.id=mc.movie_id},"{t.production_year<1984,mc.company_id=1129}"
260,SELECT * FROM title t WHERE t.kind_id>4,"  - query: |-
      SELECT * FROM title t WHERE t.kind_id>4
    qep:
      - node: Seq Scan
        actual_rows: 1555865
        estimated_rows: 1561183
        q_error: 1.0034180343410257
",1555865,1561183,1.0034180343410257219005643491982482373714447021484375,2024-08-15 14:28:09.540,{title},{t},{},{t.kind_id>4}
446,SELECT * FROM movie_companies mc WHERE mc.company_id=16041 AND mc.company_type_id=1,"  - query: |-
      SELECT * FROM movie_companies mc WHERE mc.company_id=16041 AND mc.company_type_id=1
    qep:
      - node: Index Scan
        actual_rows: 176
        estimated_rows: 50
        q_error: 3.52
",176,50,3.520000000000000017763568394002504646778106689453125,2024-08-17 10:03:16.227,{movie_companies},{mc},{},"{mc.company_id=16041,mc.company_type_id=1}"
449,"SELECT * FROM title t,movie_companies mc,cast_info ci,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year>2006 AND mc.company_id=19 AND ci.person_id<493729 AND ci.role_id=1","  - query: |-
      SELECT * FROM title t,movie_companies mc,cast_info ci,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year>2006 AND mc.company_id=19 AND ci.person_id<493729 AND ci.role_id=1
    qep:
      - node: Nested Loop/Nested Loop/Hash Join/Seq Scan
        actual_rows: 602403
        estimated_rows: 554801
        q_error: 1.0858001337416479
      - node: Nested Loop/Nested Loop/Hash Join/Hash/Bitmap Heap Scan/Bitmap Index
          Scan
        actual_rows: 47252
        estimated_rows: 48443
        q_error: 1.0252052823160924
      - node: Nested Loop/Nested Loop/Hash Join/Hash/Bitmap Heap Scan
        actual_rows: 47252
        estimated_rows: 48443
        q_error: 1.0252052823160924
      - node: Nested Loop/Nested Loop/Hash Join/Hash
        actual_rows: 47252
        estimated_rows: 48443
        q_error: 1.0252052823160924
      - node: Nested Loop/Nested Loop/Hash Join
        actual_rows: 3417
        estimated_rows: 10629
        q_error: 3.1106233538191397
      - node: Nested Loop/Nested Loop/Index Scan
        actual_rows: 2
        estimated_rows: 3
        q_error: 1.5
      - node: Nested Loop/Nested Loop
        actual_rows: 5775
        estimated_rows: 5801
        q_error: 1.0045021645021646
      - node: Nested Loop/Index Scan
        actual_rows: 4
        estimated_rows: 2
        q_error: 2.0
      - node: Nested Loop
        actual_rows: 24879
        estimated_rows: 4173
        q_error: 5.961897915168943
",24879,4173,5.96189791516894285194894109736196696758270263671875,2024-08-17 10:04:46.924,"{title,movie_companies,cast_info,movie_info_idx}","{t,mc,ci,mi_idx}","{t.id=mc.movie_id,t.id=ci.movie_id,t.id=mi_idx.movie_id}","{t.kind_id=7,t.production_year>2006,mc.company_id=19,ci.person_id<493729,ci.role_id=1}"
273,SELECT * FROM movie_info mi WHERE mi.info_type_id>7,"  - query: |-
      SELECT * FROM movie_info mi WHERE mi.info_type_id>7
    qep:
      - node: Bitmap Heap Scan/Bitmap Index Scan
        actual_rows: 7548855
        estimated_rows: 7473435
        q_error: 1.0100917449606506
      - node: Bitmap Heap Scan
        actual_rows: 7548855
        estimated_rows: 7473435
        q_error: 1.0100917449606506
",7548855,7473435,1.010091744960650572693339199759066104888916015625,2024-08-15 14:37:41.634,{movie_info},{mi},{},{mi.info_type_id>7}
279,SELECT * FROM cast_info ci WHERE ci.role_id=9,"  - query: |-
      SELECT * FROM cast_info ci WHERE ci.role_id=9
    qep:
      - node: Index Scan
        actual_rows: 1093558
        estimated_rows: 1132417
        q_error: 1.0355344663931862
",1093558,1132417,1.0355344663931862481121015662210993468761444091796875,2024-08-15 14:41:58.216,{cast_info},{ci},{},{ci.role_id=9}
162,"SELECT * FROM title t,movie_info mi,movie_companies mc,cast_info ci WHERE t.id=mi.movie_id AND t.id=mc.movie_id AND t.id=ci.movie_id AND ci.role_id=2 AND mi.info_type_id=16 AND t.production_year>2000","- query: |-
      SELECT * FROM title t,movie_info mi,movie_companies mc,cast_info ci WHERE t.id=mi.movie_id AND t.id=mc.movie_id AND t.id=ci.movie_id AND ci.role_id=2 AND mi.info_type_id=16 AND t.production_year>2000
    qep:
      - node: Hash Join/Index Scan
        actual_rows: 7451973
        estimated_rows: 7473471
        q_error: 1.002884873576434
      - node: Hash Join/Hash/Hash Join/Bitmap Heap Scan/Bitmap Index Scan
        actual_rows: 3036719
        estimated_rows: 3045177
        q_error: 1.002785242888789
      - node: Hash Join/Hash/Hash Join/Bitmap Heap Scan
        actual_rows: 3036719
        estimated_rows: 3045177
        q_error: 1.002785242888789
      - node: Hash Join/Hash/Hash Join/Hash/Hash Join/Seq Scan
        actual_rows: 2609129
        estimated_rows: 2609129
        q_error: 1.0
      - node: Hash Join/Hash/Hash Join/Hash/Hash Join/Hash/Seq Scan
        actual_rows: 1381453
        estimated_rows: 1388272
        q_error: 1.004936107127785
      - node: Hash Join/Hash/Hash Join/Hash/Hash Join/Hash
        actual_rows: 1381453
        estimated_rows: 1388272
        q_error: 1.004936107127785
      - node: Hash Join/Hash/Hash Join/Hash/Hash Join
        actual_rows: 1170186
        estimated_rows: 1432539
        q_error: 1.2241976916490198
      - node: Hash Join/Hash/Hash Join/Hash
        actual_rows: 1170186
        estimated_rows: 1432539
        q_error: 1.2241976916490198
      - node: Hash Join/Hash/Hash Join
        actual_rows: 6621484
        estimated_rows: 1725264
        q_error: 3.8379540754342525
      - node: Hash Join/Hash
        actual_rows: 6621484
        estimated_rows: 1725264
        q_error: 3.8379540754342525
      - node: Hash Join
        actual_rows: 90649862
        estimated_rows: 5099344
        q_error: 17.77676932562306",90649862,5099344,17.776769325623060780117157264612615108489990234375,2024-08-09 14:59:52.000,"{title,movie_info,movie_companies,cast_info}","{t,mi,mc,ci}","{t.id=mi.movie_id,t.id=mc.movie_id,t.id=ci.movie_id}","{ci.role_id=2,mi.info_type_id=16,t.production_year>2000}"
